OriginalID,SourceLevel,TargetLevel,SourceText,TargetText,split
4670,ELE,INT,"Between the mountains, along the narrow Vestfjord valley, is the small town that Eyde built at the beginning of the last century for his factory workers.","Between the mountains, along the narrow Vestfjord valley, lies the small, but once powerful, town that Eyde built at the beginning of the last century, so the workers in his factories could live there.",train
5256,ELE,INT,"It is also possible that Inky escaped through an open pipe at the top of his tank, which led under the floor to the drain.","It is also possible that Inky escaped by squeezing into an open pipe at the top of his tank, which led under the floor to the drain.",train
5546,ELE,INT,"The  lm has been shown in many countries, including the US, UK and several African states.","The  lm has been shown in more than a dozen countries, including the US, UK and several African states.",train
5460,ELE,INT,"This idea comes from common sense and experience, he told the Guardian.","This idea is a result of common sense and experience, the mayor told the Guardian.",train
5055,ELE,INT,"A few days after he performed at the Freddie Mercury tribute concert at Wembley Stadium in April 1992, Bowie married the Somalian model Iman and bought a home in New York.","A few days after his appearance at the Freddie Mercury tribute concert at Wembley Stadium in April 1992, Bowie married the Somalian model Iman and the couple bought a home in New York.",train
4393,ELE,INT,"Maria van der Hoeven, Executive Director of the IEA, said that the amount of coal we use continues to grow each year and, if no changes are made, coal will catch oil within ten years.","Maria van der Hoeven, Executive Director of the IEA, said that coal consumption continues to grow each year and, if no changes are made, coal will catch oil within a decade.",train
5205,ELE,INT,"The real Downton Abbey is Highclere Castle  a stately home owned by George Herbert, 8th Earl of Carnarvon.","But, at the real Downton Abbey, Highclere Castle  a stately home owned by George Geordie Herbert, 8th Earl of Carnarvon  they have more money than before.",train
5317,ELE,INT,"For example, Mumsnet, an online network for parents, can help you feel less alone when you are at home with young children.","For example, Mumsnet, an online network for parents, can help you feel less alone when bringing up young children.",train
5992,ELE,INT,"The charity National Trust, which employs many of its seasonal workers on zero-hours contracts, said it gives the same pay and bene ts to workers on zero-hours contracts as to full-time staff.","The charity National Trust, which employs many of its seasonal workers on zero-hours contracts, said it offered the same pay and bene ts to those workers, pro rata, as full-time staff, but needed some workers to be on more  exible contracts.",train
5126,ELE,INT,They want me to try to save and I do other things  I buy food and I do things around the house.,They want me to try to save up and I contribute in other ways  I buy food and I do things around the house.,train
5614,ELE,INT,"There will also be hundreds of lectures, international conferences,  lms, concerts, operas and major exhibitions.","There will also be hundreds of lectures, recitals, international academic conferences,  lms, concerts, operas and major exhibitions.",train
4398,ELE,INT,"In an article for magazine Index on Censorship, Pullman, who is president of the Society of Authors, strongly defends copyright laws.","In an article for Index on Censorship, Pullman, who is president of the Society of Authors, strongly defends copyright laws.",train
4846,ELE,INT,"Data from 81 countries shows that, even in rich countries, 23.2% of women will experience physical and/or sexual violence from a partner in their lives.","Data from 81 countries shows that, even in high-income countries, 23.2% of women will suffer physical and/or sexual violence from a partner in their lives.",train
5854,ELE,INT,"As a result, Cockrell says, the rich hang out with other rich Americans who understand them and their problems.","As a result, Cockrell says, the rich usually hang out with other rich Americans who understand them and their problems.",train
5506,ELE,INT,"Frankie & Bennys, Chiquitos and Garfunkels used to take 10% but stopped years ago.","Frankie & Bennys, Chiquitos and Garfunkels used to charge 10% but they stopped doing this several years ago.",train
5423,ELE,INT,"To make the atlas, the scientists recorded peoples brain activity while they listened to stories.","To create the atlas, the scientists recorded peoples brain activity while they listened to stories.",train
4348,ELE,INT,"I will write to the auction house to find out what will happen next, but for now we are really pleased that a peoples campaign in London has had an impact in the US.","I will be writing to the auction house to clarify what happened and what will happen next, but for now we are really pleased that a community campaign in London has had an impact in the US.",train
5300,ELE,INT,"They will move this city of 23,000 people away from a gigantic iron-ore mine that is swallowing up the ground beneath its streets.","They have to move this city of 23,000 people away from a gigantic iron-ore mine that is fast swallowing up the ground beneath its streets.",train
5790,ELE,INT,"The celebrations for his 80th birthday, in 2005, included an award-winning album with Clapton, Mark Knop er, Roger Daltrey, Gloria Estefan and others, tributes from Bono, Amadou Bagayoko and Elton John, and a goodbye tour that was not a goodbye at all.","The celebrations for his 80th birthday, in 2005, included an award-winning album of collaborations with Clapton, Mark Knop er, Roger Daltrey, Gloria Estefan and others, tributes from musicians as diverse as Bono, Amadou Bagayoko and Elton John, and a goodbye tour that was not a goodbye at all.",train
4476,ELE,INT,I said this the other day to a big fat man.,I said this just the other day to a big fat man.,train
5102,ELE,INT,"The British number one, Andy Murray, said: Its defi nitely a problem.","The British number one, Andy Murray, said: Its defi nitely something that you have to look at.",train
4558,ELE,INT,The claimants lawyer said: The British government has admitted that these three Kenyans were brutally tortured but they have tried not to take any legal responsibility.,The claimants lawyer said: The British government has admitted that these three Kenyans were brutally tortured but they have been trying to avoid any legal responsibility.,train
5323,ELE,INT,But not all results are positive: one recent study found no significant benefit for young people who took the chemical for several days.,"Results have been mixed, though: one recent study found no significant benefit for young people given the chemical over several days.",train
5987,ELE,INT,Quali cations: You dont need any quali cations but you can do a special course.,Quali cations: You dont need any speci c quali cations but you can do a special course.,train
5230,ELE,INT,"The registry does not recognize the name of Harriets 12-year-old brother Duncan either, so, until now, the two children have travelled on passports with the names Stlka and Drengur Cardew, which mean Girl and Boy Cardew.","Since the registry does not recognize the name of Harriets 12-year-old brother Duncan either, the two children have, until now, travelled on passports identifying them as Stlka and Drengur Cardew: Girl and Boy Cardew.",train
4530,ELE,INT,"Now, to compete, he has had to leave Tokyo and go to Silicon Valley.","Now, to compete, hes had to leave Tokyo and go to Silicon Valley.",train
5644,ELE,INT,"But new technology is less focused on shoplifting and more interested in your age, gender and shopping habits.","But new technology is less focused on shoplifting and more interested in your age, sex and shopping habits.",train
5866,ELE,INT,It was an easy decision for artists to give iTunes the download exclusive on an album because most people download music using iTunes.,It was an easy decision for artists to give iTunes the download exclusive on an album because iTunes controls so much of the download market.,train
5281,ELE,INT,"In 1786, he went to Margate and there his love of painting and drawing the north-east Kent coast began.","In 1786, when he was sent to Margate, his love of painting and drawing the north-east Kent coast began.",train
5634,ELE,INT,Most of them did not enjoy the experience.,"On average, they did not enjoy the experience.",train
5638,ELE,INT,"They said that being alone with their thoughts was so hard for many participants that they gave themselves an electric shock, something the participants had said they would pay not to get.",The scientists said that the most surprising thing was that being alone with their thoughts was so hard for many people that they gave themselves an electric shock  something the participants had earlier said they would pay to avoid.,train
5399,ELE,INT,"In Britain and America, streaming may soon make more money for the music industry than downloads from online stores such as Apples iTunes.","In Britain and America, streaming may soon generate more revenue for the music industry than downloads from online stores such as Apples iTunes.",train
5577,ELE,INT,"The daily mile has done a lot to improve these childrens  tness, behaviour and concentration in lessons so many other British schools are doing the same.","The daily mile has done so much to improve these childrens  tness, behaviour and concentration in lessons that many other British schools are doing the same.",train
5284,ELE,INT,"By 2020, the government hopes that the law will make Japanese employees follow the example of British workers, who take an average of 20 days paid annual leave, and workers in France, who take an average of 25.","By the end of the decade, the government hopes that the law will push Japanese employees towards following the example set by British workers, who use an average of 20 days paid annual leave, and those in France, who take an average of 25.",train
5827,ELE,INT,"In real life, some friends are more important than others but, on Facebook, all friends have the same importance.","But, unlike in real life, on Facebook, all your friends have the same importance.",train
5991,ELE,INT,Workers on zero-hours contracts are often only told how many hours they will work when weekly or monthly rotas are created.,"Workers on zero-hours contracts are often only told how many hours they will work when weekly or monthly rotas are created, but are expected to be on call for extra work at short notice.",train
4651,ELE,INT,FW de Klerk  the South African president who freed Mandela from prison and shared the Nobel Peace Prize with him in 1993  said the news was very sad for South Africa and the world.,FW de Klerk  the South African president who freed Mandela and shared the Nobel Peace Prize with him in 1993  said the news was deeply sad for South Africa and the world.,train
4837,ELE,INT,A journalist asked the president if the crisis would happen again in a few months.,The president was asked by a journalist whether the crisis would happen again in a few months.,train
5840,ELE,INT,And 39% are connected to people they have never met.,And 39% are connected to people they have never met in person.,train
4462,ELE,INT,"The Manchester United manager, Sir Alex Ferguson, will retire at the end of the season after 27 years.","The Manchester United manager, Sir Alex Ferguson, will retire at the end of the season after 27 years as the most successful manager in British football.",train
5551,ELE,INT,"We studied a group of current London taxi drivers and a group of retired London taxi drivers, said Dr Hugo Spiers of University College London, who is an author of the study.","We looked at a group of current London taxi drivers and a group of London taxi drivers that had been retired for about four years, said neuroscientist Dr Hugo Spiers of University College London, who is an author of the study.",train
4966,ELE,INT,A new 14-million national landscape discovery centre will have an observatory when it is completed in a couple of years.,A new 14m national landscape discovery centre will have an observatory when it is completed in a couple of years.,train
4373,ELE,INT,Male bosses are paid bonuses double the size of bonuses given to female colleagues in the same jobs.,Male bosses are paid bonuses double the size of those given to female colleagues in identical jobs.,train
5800,ELE,INT,I live in a 100 square-metre apartment in a good area about 20 minutes walk from the city centre.,I live in a 100sq-metre apartment in a good area about 20 minutes walk from the city centre.,train
5789,ELE,INT,"About a year and a half ago, he said in 1969, kids suddenly started saying to me, Youre the greatest blues guitarist in the world.","About a year and a half ago, he said in 1969, all of a sudden, kids started saying to me, Youre the greatest blues guitarist in the world.",train
5520,ELE,INT,"The report by the Chronic Poverty Advisory Network says that many people may rise above the poverty line of $1.25 a day, but fall back again when they have problems such as drought or illness and insecurity or con ict.","The report by the Chronic Poverty Advisory Network says that many people may rise above the poverty line of $1.25 a day, but slip back again when they experience problems such as drought or illness and insecurity or con ict.",train
5926,ELE,INT,Part of the reason for this is simply that air travel is dangerous so standards are much higher.,Part of the reason for this is that air travel is dangerous so standards are much higher.,train
4654,ELE,INT,"He was married three times and he had six children, 17 grandchildren and 14 great-grandchildren.                     ","Married three times, he had six children, 17 grandchildren and 14 great-grandchildren.",train
4871,ELE,INT,"Finnish mobile-phone company Nokia dropped 41 places to 98th at $4.1 billion, just ahead of Nintendo in 100th place (down 33).","Finnish mobile-phone company Nokia dropped 41 places to 98th at $4.1bn, just ahead of Nintendo in 100th place (down 33).",train
5465,ELE,INT,"More importantly, he wants the scheme to help the people most in need.","More importantly, he wants the scheme to help those most in need.",train
5889,ELE,INT,"I wanted to develop a cash machine and, to make this happen, I invented the PIN [personal identi cation number] and a coded token.""","I wanted to develop a cash-issuing machine and, to make this a reality, I invented the PIN [personal identi cation number] and a coded token.",train
5698,ELE,INT,"But, it will take a long time to get fully automated because the average age of cars on the road is 11.5 years old.","But, even if driverless technology were ready to use now, it would take a long time to get fully automated because the average age of cars on the road is 11.5 years old.",train
5826,ELE,INT,You wont be surprised if you see an ex in the street with a new girlfriend or boyfriend: you already know theyre with someone else because youve seen the romantic sel es.,You wont be surprised to see an ex in the street with a new girlfriend or boyfriend: you already know theyre dating someone else from the romantic sel es.,train
5708,ELE,INT,The results suggest that blue eyes came first in Europe and that the change to lighter skin happened later in Mesolithic times.,The results suggest that blue eye colour came first in Europe and that the change to lighter skin happened throughout Mesolithic times.,train
5155,ELE,INT,"Theyre not dangerous but they are almost 100% muscle and they can be a little bit slimy, says Stephen Mowat, an eel ecologist for the Zoological Society of London.","Theyre not at all dangerous but they are almost pure muscle and they can be a little bit slimy, says Stephen Mowat, an eel conservationist and ecologist for the Zoological Society of London.",train
4639,ELE,INT,Were just going to continue to fight this battle.,Were just going to keep fighting this battle.,train
4568,ELE,INT,They can use those fish to feed themselves and to sell in the market so that they get money to buy other food.,They can use those fish to feed themselves and to sell in the market so that they get money to buy other essential items.,train
4829,ELE,INT,"The British prime minister, David Cameron, said: I was very sad when l heard of Lady Thatchers death.","The British prime minister, David Cameron, said: It was with great sadness that l learned of Lady Thatchers death.",train
5086,ELE,INT,Countries around the world will watch the introduction of the EUs new emissions tests carefully. ,The introduction of the EUs new emission tests will be watched closely around the world.,train
5138,ELE,INT,"In my opinion, its just a publicity stunt to get people talking about the club.","In my opinion, its just a publicity stunt to get people talking about the club and she wont last the season.",train
4991,ELE,INT,"They are popular in many parts of Europe, too.","They are popular in much of Europe, too.",train
4811,ELE,INT,"As you can see, everything here is fine but we have to hit the terrorists, these extremists, an army officer said.","As you can see, everything here is fine but we have to hit the terrorists, these extremists, an army officer announced.",train
4428,ELE,INT,"I hate to think, he says, but he mentions the Swiss climber, Ueli Steck, who fled the mountain in April after an argument with a group of Sherpas.","I hate to think, he says, but mentions the Swiss climber, Ueli Steck, who fled the mountain in April after an argument with a crowd of Sherpas at Camp 2.",train
5786,ELE,INT,He often praised the musicians who in uenced him and he usually mentioned T-Bone Walker  rst.,He was always ready to praise the musicians who had in uenced him  he would usually mention T-Bone Walker  rst.,train
4384,ELE,INT,"But now Brazil once again has problems, with a constant rise in prices, so people are finally reacting.","But now Brazil is once again in crisis, with a constant rise in prices, so people are finally reacting.",train
4924,ELE,INT,"Stewart Baker, who worked at the US National Security Agency (NSA), said Metadata tells you everything about somebodys life.","Stewart Baker, the former general counsel at the US National Security Agency (NSA), said Metadata tells you everything about somebodys life.",train
5056,ELE,INT,"For the album Black Tie White Noise (1993), he included elements of soul and hip hop.","For the album Black Tie White Noise (1993), he included elements of soul, electronica and hip hop.",train
5318,ELE,INT,"According to recent research, loneliness is killing the elderly and, with an ageing population, we should try to reduce our isolation before it is too late.","If we believe recent research, loneliness is killing the elderly and, with an ageing population, we should aim to reduce our isolation before it is too late.",train
5860,ELE,INT,"According to the International Federation of the Phonographic Industry (IFPI), only 41 million subscribers used music streaming services around the world in 2014.","According to the International Federation of the Phonographic Industry (IFPI), there were only 41m subscribers using music streaming services around the world in 2014.",train
5717,ELE,INT,The High Court in Pretoria has asked the University of Pretorias Centre for Child Law to find out what will be best for the children.,The High Court in Pretoria has asked the University of Pretorias Centre for Child Law to investigate what will now be in the best interests of the children.,train
5950,ELE,INT,McDonalds is the worlds biggest burger chain and a symbol of American consumer capitalism.,McDonalds is the worlds biggest burger chain and a global emblem of American consumer capitalism.,train
4874,ELE,INT,"Sports brand Nike is at place 22 with a brand value of nearly $20 billion, ahead of its rival Adidas at place 59 with a value of $7 billion.","Sports brand Nike is at place 22 with a brand value of nearly $20bn, ahead of its rival Adidas at place 59 with a value of $7bn.",train
4358,ELE,INT,"Oxfam said world leaders should learn from countries such as Brazil, which has grown quickly and reduced inequality at the same time.","Oxfam said world leaders should learn from countries such as Brazil, which has grown rapidly while reducing inequality.",train
5529,ELE,INT,"Now Singerer, a childminder, has joined FemAle, a group of female drinkers in Gothenburg, to make and sell beer.","Now Singerer, a childminder, has joined FemAle, a group of like-minded drinkers in Gothenburg, to make and sell Swedens  rst beer made by women.",train
4940,ELE,INT,Another guard outside Royal Mansion would not say if anyone was home and a member of staff at another mansion warned the Guardian about the guard dogs.,"Another, outside Royal Mansion, would not say if anyone was home, while a member of staff at another mansion simply warned the Guardian about the guard dogs.",train
5491,ELE,INT,"In other countries, there is much more support and acceptance of the bene ts of organic food and farming.","In other countries, there have, for a long time, been much higher levels of support and acceptance of the bene ts of organic food and farming.",train
5113,ELE,INT,"Teixeira, the former son-in-law of the FIFA ex-president Joo Havelange, was charged together with Del Nero and his predecessor Jos Maria Marin, who was charged in May 2015.","Teixeira, the former son-in-law of the FIFA ex-president Joo Havelange, was charged alongside Del Nero and his predecessor Jos Maria Marin, who was charged in May.",train
5508,ELE,INT,"The scientist who led the research said that, if emissions of greenhouse gases are not reduced, the planet will be at least 4C warmer by 2100.","The scientist who led the research said that, unless emissions of greenhouse gases are reduced, the planet will heat up by a minimum of 4C by 2100.",train
4615,ELE,INT,"The Stand with Malala petition, that is asking for education for the 57 million children around the world who do not go to school, has got more than four million signatures  more than a million were added after Malalas speech.","The Stand with Malala petition, demanding education for the 57 million children around the world who do not go to school, has attracted more than four million signatures  more than a million were added after Malalas speech.",train
5336,ELE,INT,"He got the idea after the Minister for Economic Renewal, Arnaud Montebourg, asked the French people to buy French products.","He got the idea after the Minister for Economic Renewal, Arnaud Montebourg, asked the French people to buy French products to save the countrys industrial production sector.",train
5560,ELE,INT,"She has many adventures as Johansson and, in the end, dies in a car crash.","She has a series of adventures as Johansson and, in the end, dies in a car crash.",train
5570,ELE,INT,"Children born in October were almost as  t  they scored highest for strength and came third for power, with December children close behind.","Those born in October were almost as  t, scoring highest for strength and coming third for power, with December children close behind.",train
5206,ELE,INT,"At the moment, they only use the ground floor and first floor of Highclere, on the borders of Hampshire.","Currently, only the ground and first floors of Highclere, on the borders of Hampshire, are used.",train
5320,ELE,INT,Autism is a disorder that one in 100 people have.,Autism is a developmental disorder that more than one in 100 people have.,train
5107,ELE,INT,"Dancevic, who said he felt dizzy from the middle of the second set, unsurprisingly lost 76, 63, 64.","Dancevic, who said he had felt dizzy from the middle of the second set, started playing again after medical attention but, unsurprisingly, lost 76, 63, 64.",train
4458,ELE,INT,"He added that memory researchers have always known that memory does not work like a video camera, recording all the details of anything we experience.","Memory researchers have always recognized that memory does not work like a video camera, recording all the details of anything we experience.",train
4625,ELE,INT,He said that in the study they asked if its possible that the midlife crisis is not just something human.,He said that they took a step back and asked whether its possible that the midlife crisis is not just something human.,train
5653,ELE,INT,"In the CSC report, a survey showed that 72% of people aged 55 or more said they were very uncomfortable with these types of technologies in real shops.","In the CSC report, a survey showed that 72% of people aged 55 or more said they were very uncomfortable with these types of technologies in physical shops.",train
4873,ELE,INT,"The most valuable British brands are HSBC (33rd), Shell (65th) and Burberry (73rd).","The highest-placed British brands are HSBC (33rd), Shell (65th) and Burberry (73rd).",train
4484,ELE,INT,"The report was released at the start of the annual world water conference in Stockholm, Sweden, where 2,500 politicians, UN groups, non-governmental groups and researchers from 120 countries met to discuss global water supply problems.","The report is being released at the start of the annual world water conference in Stockholm, Sweden, where 2,500 politicians, UN groups, non-governmental groups and researchers from 120 countries meet to discuss global water supply problems.",train
5170,ELE,INT,About one million plastic bottles are used during the festival.,An estimated one million plastic bottles are used during the festival.,train
4329,ELE,INT,But Boer says that the government has learned from past mistakes and is not planning to put antisocial families together.,But Boer insists that the government has learned from past mistakes and is not planning to house antisocial families together.,train
5522,ELE,INT,"His income has fallen slowly, because of his illness and his wifes illness, the cost of his sons marriage, the death of his father and loss of goods such as  shing nets.","Amin, from rural Bangladesh, has seen his livelihood gradually decline, due to his own and his wifes illnesses, the cost of his sons marriage, the death of his father and loss of goods such as  shing nets.",train
5595,ELE,INT,He said he hoped the research would help health of cials to prevent and track diseases.       ,"He said he hoped the research would provide a baseline of research for health of cials and geneticists, and could help health of cials to prevent and track diseases and pathogens.",train
5802,ELE,INT,The fall of the Berlin Wall helped make Vienna a centre for companies who want to do business in Central Europe.,The fall of the Berlin Wall helped make Vienna a hub for companies wanting to do business in Central Europe.,train
4404,ELE,INT,"Between November 2012 and January 2013 in the UK, 280 million music tracks were digitally pirated along with 52 million TV shows, 29 million films,18 million ebooks and 7 million software or games files.","Data collected by Ofcom (the independent regulator and competition authority for the UK communications industries) suggests that between November 2012 and January 2013 in the UK, 280 million music tracks were digitally pirated, along with 52 million TV shows, 29 million films, 18 million ebooks and 7 million software or games files.",train
